,msc,sg,snv,rwave,standize3,vector_normalization
0,1.9369988470010913,2.712268788725857,1.6644410809719505,2.777607966811617,2.7489267631834484,2.0513147845482376
1,1.7486718541988455,2.5502183322375664,2.146261218088439,2.59997138222654,2.6301871756022828,2.316654725468458
2,1.8283255310684918,1.470918383065916,1.8235848249863624,1.230167466806511,1.1650079276228598,1.9401296292930976
3,1.9766230709711445,1.141331746711862,1.6248138866691701,1.457757162627694,1.4299971707483636,1.7308422397333294
4,1.469470018348749,0.5992765516701739,1.4500310263401783,0.8676876425218898,0.8135517865348519,1.2895543900689816
5,1.5336189549314958,0.805077297530869,1.2587726866149893,0.9199849121777662,0.8869865732860781,1.2107690341190722
6,0.52353458706586,0.16812423290557144,0.3171841781532902,0.30959670007265727,0.25122231445001186,0.44671282664030687
7,1.468858912298279,1.3510189635036436,1.503843052847946,1.2014157547538562,1.1962909465074676,1.6714044473042522
8,1.8915977614330508,3.212321512603068,2.246343422772062,3.0374960356829925,2.9036678585082263,2.0963646641849887
9,2.4303988411983846,3.5383646664290875,2.423520894952381,3.6445490871174946,3.6013226789186223,2.5904198589928416
