,msc,sg,snv,rwave,standize3,vector_normalization
0,0.8864259297549101,1.273586739227023,0.7428958412189175,1.3348307753963333,1.3184443821238938,0.8940041266747238
1,0.778954917765648,1.2076657769299235,0.9886841182371746,1.2429136137968433,1.2552409929830124,1.0290993792278864
2,0.8321621762361449,0.6614274735410952,0.7901036119752202,0.5478843148475306,0.5123762485317197,0.867138980943741
3,0.8944939090745272,0.46544492356744566,0.7162718834116258,0.6280640323077812,0.6126895662765394,0.7735995429626776
4,0.6274604742442951,0.2126424856689759,0.6279756593989267,0.3284097657221831,0.3027284939864527,0.5400871903932587
5,0.6682659880797187,0.28903043124049854,0.5371089401254504,0.3525974222250185,0.33046354292209984,0.5165939364752623
6,0.19273614262783412,0.01357207909175237,0.08856738493916688,0.0861478986382745,0.057332413354566764,0.16551590855788834
7,0.6384770060573094,0.5937257021503698,0.6541334008331016,0.5225007651429394,0.5173702577615503,0.7407457487983214
8,0.8250574707545452,1.4808913666007841,0.9847408648749009,1.3879616157330272,1.3295675700118164,0.9277071392517943
9,1.0824529648677972,1.6739860018797803,1.1133395302859246,1.713494154598772,1.6940159371928114,1.1895044160548673
