nm,Abs,
350.00,  0.040,
349.00,  0.037,
348.00,  0.041,
347.00,  0.039,
346.00,  0.040,
345.00,  0.037,
344.00,  0.034,
343.00,  0.048,
342.00,  0.044,
341.00,  0.043,
340.00,  0.042,
339.00,  0.040,
338.00,  0.045,
337.00,  0.041,
336.00,  0.044,
335.00,  0.045,
334.00,  0.036,
333.00,  0.044,
332.00,  0.041,
331.00,  0.043,
330.00,  0.042,
329.00,  0.048,
328.00,  0.045,
327.00,  0.042,
326.00,  0.040,
325.00,  0.042,
324.00,  0.049,
323.00,  0.043,
322.00,  0.034,
321.00,  0.043,
320.00,  0.039,
319.00,  0.045,
318.00,  0.044,
317.00,  0.042,
316.00,  0.052,
315.00,  0.048,
314.00,  0.043,
313.00,  0.045,
312.00,  0.044,
311.00,  0.045,
310.00,  0.044,
309.00,  0.056,
308.00,  0.046,
307.00,  0.044,
306.00,  0.048,
305.00,  0.061,
304.00,  0.062,
303.00,  0.069,
302.00,  0.085,
301.00,  0.095,
300.00,  0.119,
299.00,  0.130,
298.00,  0.154,
297.00,  0.167,
296.00,  0.188,
295.00,  0.212,
294.00,  0.235,
293.00,  0.254,
292.00,  0.273,
291.00,  0.304,
290.00,  0.324,
289.00,  0.348,
288.00,  0.364,
287.00,  0.378,
286.00,  0.394,
285.00,  0.406,
284.00,  0.420,
283.00,  0.422,
282.00,  0.430,
281.00,  0.427,
280.00,  0.429,
279.00,  0.422,
278.00,  0.421,
277.00,  0.414,
276.00,  0.413,
275.00,  0.390,
274.00,  0.383,
273.00,  0.371,
272.00,  0.361,
271.00,  0.347,
270.00,  0.342,
269.00,  0.328,
268.00,  0.319,
267.00,  0.310,
266.00,  0.305,
265.00,  0.297,
264.00,  0.302,
263.00,  0.302,
262.00,  0.311,
261.00,  0.316,
260.00,  0.331,
259.00,  0.355,
258.00,  0.371,
257.00,  0.409,
256.00,  0.446,
255.00,  0.489,
254.00,  0.539,
253.00,  0.593,
252.00,  0.658,
251.00,  0.716,
250.00,  0.774,
249.00,  0.844,
248.00,  0.924,
247.00,  1.002,
246.00,  1.077,
245.00,  1.149,
244.00,  1.220,
243.00,  1.273,
242.00,  1.327,
241.00,  1.382,
240.00,  1.408,
239.00,  1.437,
238.00,  1.459,
237.00,  1.474,
236.00,  1.484,
235.00,  1.497,
234.00,  1.488,
233.00,  1.502,
232.00,  1.502,
231.00,  1.511,
230.00,  1.507,
229.00,  1.478,
228.00,  1.478,
227.00,  1.491,
226.00,  1.481,
225.00,  1.476,
224.00,  1.475,
223.00,  1.456,
222.00,  1.468,
221.00,  1.437,
220.00,  1.444,
219.00,  1.451,
218.00,  1.456,
217.00,  1.425,
216.00,  1.432,
215.00,  1.419,
214.00,  1.396,
213.00,  1.377,
212.00,  1.363,
211.00,  1.318,
210.00,  1.303,
209.00,  1.254,
208.00,  1.257,
207.00,  1.213,
206.00,  1.196,
205.00,  1.162,
204.00,  1.119,
203.00,  1.075,
202.00,  1.052,
201.00,  1.030,
200.00,  0.990,
199.00,  1.227,
198.00,  1.115,
197.00,  1.050,
196.00,  1.029,
195.00,  0.862,
194.00,  0.879,
193.00,  0.714,
192.00,  0.583,
191.00,  0.464,
190.00,  0.219,
