nm,Abs,
350.00,  0.038,
349.00,  0.040,
348.00,  0.041,
347.00,  0.038,
346.00,  0.046,
345.00,  0.041,
344.00,  0.040,
343.00,  0.043,
342.00,  0.042,
341.00,  0.035,
340.00,  0.037,
339.00,  0.039,
338.00,  0.040,
337.00,  0.041,
336.00,  0.041,
335.00,  0.047,
334.00,  0.037,
333.00,  0.040,
332.00,  0.042,
331.00,  0.036,
330.00,  0.037,
329.00,  0.041,
328.00,  0.041,
327.00,  0.040,
326.00,  0.034,
325.00,  0.040,
324.00,  0.049,
323.00,  0.043,
322.00,  0.041,
321.00,  0.044,
320.00,  0.039,
319.00,  0.044,
318.00,  0.042,
317.00,  0.041,
316.00,  0.050,
315.00,  0.050,
314.00,  0.044,
313.00,  0.045,
312.00,  0.042,
311.00,  0.043,
310.00,  0.045,
309.00,  0.048,
308.00,  0.044,
307.00,  0.048,
306.00,  0.052,
305.00,  0.059,
304.00,  0.056,
303.00,  0.068,
302.00,  0.080,
301.00,  0.082,
300.00,  0.100,
299.00,  0.116,
298.00,  0.135,
297.00,  0.149,
296.00,  0.166,
295.00,  0.181,
294.00,  0.202,
293.00,  0.218,
292.00,  0.240,
291.00,  0.264,
290.00,  0.278,
289.00,  0.304,
288.00,  0.306,
287.00,  0.328,
286.00,  0.341,
285.00,  0.348,
284.00,  0.364,
283.00,  0.361,
282.00,  0.363,
281.00,  0.362,
280.00,  0.367,
279.00,  0.365,
278.00,  0.370,
277.00,  0.357,
276.00,  0.354,
275.00,  0.341,
274.00,  0.336,
273.00,  0.323,
272.00,  0.315,
271.00,  0.302,
270.00,  0.295,
269.00,  0.284,
268.00,  0.281,
267.00,  0.272,
266.00,  0.274,
265.00,  0.257,
264.00,  0.264,
263.00,  0.261,
262.00,  0.270,
261.00,  0.281,
260.00,  0.289,
259.00,  0.309,
258.00,  0.327,
257.00,  0.356,
256.00,  0.384,
255.00,  0.422,
254.00,  0.465,
253.00,  0.518,
252.00,  0.562,
251.00,  0.621,
250.00,  0.670,
249.00,  0.737,
248.00,  0.805,
247.00,  0.868,
246.00,  0.934,
245.00,  1.009,
244.00,  1.076,
243.00,  1.139,
242.00,  1.195,
241.00,  1.231,
240.00,  1.289,
239.00,  1.307,
238.00,  1.332,
237.00,  1.354,
236.00,  1.382,
235.00,  1.395,
234.00,  1.400,
233.00,  1.404,
232.00,  1.418,
231.00,  1.413,
230.00,  1.420,
229.00,  1.414,
228.00,  1.396,
227.00,  1.398,
226.00,  1.412,
225.00,  1.403,
224.00,  1.406,
223.00,  1.408,
222.00,  1.377,
221.00,  1.400,
220.00,  1.399,
219.00,  1.408,
218.00,  1.409,
217.00,  1.385,
216.00,  1.404,
215.00,  1.392,
214.00,  1.405,
213.00,  1.359,
212.00,  1.352,
211.00,  1.328,
210.00,  1.305,
209.00,  1.285,
208.00,  1.261,
207.00,  1.214,
206.00,  1.196,
205.00,  1.173,
204.00,  1.134,
203.00,  1.086,
202.00,  1.039,
201.00,  1.015,
200.00,  0.994,
199.00,  1.182,
198.00,  1.128,
197.00,  1.077,
196.00,  1.026,
195.00,  0.892,
194.00,  0.874,
193.00,  0.717,
192.00,  0.559,
191.00,  0.442,
190.00,  0.222,
