nm,Abs,
350.00,  0.035,
349.00,  0.037,
348.00,  0.039,
347.00,  0.040,
346.00,  0.044,
345.00,  0.036,
344.00,  0.036,
343.00,  0.046,
342.00,  0.046,
341.00,  0.038,
340.00,  0.040,
339.00,  0.036,
338.00,  0.042,
337.00,  0.045,
336.00,  0.039,
335.00,  0.042,
334.00,  0.037,
333.00,  0.042,
332.00,  0.042,
331.00,  0.040,
330.00,  0.042,
329.00,  0.048,
328.00,  0.043,
327.00,  0.035,
326.00,  0.040,
325.00,  0.040,
324.00,  0.042,
323.00,  0.040,
322.00,  0.039,
321.00,  0.038,
320.00,  0.038,
319.00,  0.047,
318.00,  0.045,
317.00,  0.038,
316.00,  0.045,
315.00,  0.045,
314.00,  0.046,
313.00,  0.044,
312.00,  0.038,
311.00,  0.046,
310.00,  0.036,
309.00,  0.051,
308.00,  0.038,
307.00,  0.041,
306.00,  0.051,
305.00,  0.049,
304.00,  0.047,
303.00,  0.066,
302.00,  0.072,
301.00,  0.081,
300.00,  0.087,
299.00,  0.097,
298.00,  0.116,
297.00,  0.123,
296.00,  0.139,
295.00,  0.156,
294.00,  0.176,
293.00,  0.191,
292.00,  0.196,
291.00,  0.224,
290.00,  0.234,
289.00,  0.252,
288.00,  0.253,
287.00,  0.275,
286.00,  0.286,
285.00,  0.291,
284.00,  0.298,
283.00,  0.303,
282.00,  0.310,
281.00,  0.308,
280.00,  0.307,
279.00,  0.310,
278.00,  0.306,
277.00,  0.295,
276.00,  0.294,
275.00,  0.286,
274.00,  0.282,
273.00,  0.269,
272.00,  0.262,
271.00,  0.254,
270.00,  0.249,
269.00,  0.242,
268.00,  0.240,
267.00,  0.228,
266.00,  0.231,
265.00,  0.218,
264.00,  0.222,
263.00,  0.220,
262.00,  0.231,
261.00,  0.231,
260.00,  0.243,
259.00,  0.259,
258.00,  0.271,
257.00,  0.297,
256.00,  0.324,
255.00,  0.354,
254.00,  0.390,
253.00,  0.432,
252.00,  0.467,
251.00,  0.511,
250.00,  0.554,
249.00,  0.605,
248.00,  0.669,
247.00,  0.728,
246.00,  0.779,
245.00,  0.844,
244.00,  0.898,
243.00,  0.958,
242.00,  1.010,
241.00,  1.045,
240.00,  1.097,
239.00,  1.132,
238.00,  1.163,
237.00,  1.181,
236.00,  1.216,
235.00,  1.229,
234.00,  1.244,
233.00,  1.253,
232.00,  1.273,
231.00,  1.266,
230.00,  1.268,
229.00,  1.255,
228.00,  1.260,
227.00,  1.257,
226.00,  1.267,
225.00,  1.265,
224.00,  1.261,
223.00,  1.264,
222.00,  1.270,
221.00,  1.294,
220.00,  1.299,
219.00,  1.307,
218.00,  1.321,
217.00,  1.333,
216.00,  1.355,
215.00,  1.376,
214.00,  1.375,
213.00,  1.345,
212.00,  1.337,
211.00,  1.349,
210.00,  1.310,
209.00,  1.268,
208.00,  1.262,
207.00,  1.217,
206.00,  1.207,
205.00,  1.160,
204.00,  1.102,
203.00,  1.088,
202.00,  1.047,
201.00,  1.015,
200.00,  0.990,
199.00,  1.198,
198.00,  1.153,
197.00,  1.091,
196.00,  0.987,
195.00,  0.899,
194.00,  0.883,
193.00,  0.730,
192.00,  0.603,
191.00,  0.437,
190.00,  0.235,
