nm,Abs,
350.00,  0.023,
349.00,  0.012,
348.00,  0.011,
347.00,  0.011,
346.00,  0.017,
345.00,  0.021,
344.00,  0.012,
343.00,  0.019,
342.00,  0.016,
341.00,  0.020,
340.00,  0.016,
339.00,  0.020,
338.00,  0.018,
337.00,  0.017,
336.00,  0.019,
335.00,  0.019,
334.00,  0.015,
333.00,  0.023,
332.00,  0.020,
331.00,  0.020,
330.00,  0.021,
329.00,  0.025,
328.00,  0.023,
327.00,  0.012,
326.00,  0.020,
325.00,  0.018,
324.00,  0.018,
323.00,  0.016,
322.00,  0.023,
321.00,  0.018,
320.00,  0.019,
319.00,  0.029,
318.00,  0.026,
317.00,  0.020,
316.00,  0.018,
315.00,  0.018,
314.00,  0.024,
313.00,  0.023,
312.00,  0.017,
311.00,  0.029,
310.00,  0.019,
309.00,  0.024,
308.00,  0.019,
307.00,  0.020,
306.00,  0.012,
305.00,  0.014,
304.00,  0.016,
303.00,  0.022,
302.00,  0.017,
301.00,  0.020,
300.00,  0.017,
299.00,  0.020,
298.00,  0.018,
297.00,  0.023,
296.00,  0.021,
295.00,  0.018,
294.00,  0.023,
293.00,  0.022,
292.00,  0.026,
291.00,  0.025,
290.00,  0.035,
289.00,  0.032,
288.00,  0.031,
287.00,  0.034,
286.00,  0.032,
285.00,  0.032,
284.00,  0.040,
283.00,  0.043,
282.00,  0.044,
281.00,  0.046,
280.00,  0.048,
279.00,  0.046,
278.00,  0.049,
277.00,  0.055,
276.00,  0.059,
275.00,  0.051,
274.00,  0.058,
273.00,  0.060,
272.00,  0.057,
271.00,  0.057,
270.00,  0.059,
269.00,  0.053,
268.00,  0.056,
267.00,  0.061,
266.00,  0.057,
265.00,  0.060,
264.00,  0.059,
263.00,  0.056,
262.00,  0.054,
261.00,  0.065,
260.00,  0.064,
259.00,  0.065,
258.00,  0.067,
257.00,  0.068,
256.00,  0.073,
255.00,  0.071,
254.00,  0.078,
253.00,  0.082,
252.00,  0.086,
251.00,  0.093,
250.00,  0.099,
249.00,  0.099,
248.00,  0.101,
247.00,  0.113,
246.00,  0.125,
245.00,  0.123,
244.00,  0.136,
243.00,  0.139,
242.00,  0.143,
241.00,  0.154,
240.00,  0.164,
239.00,  0.173,
238.00,  0.176,
237.00,  0.189,
236.00,  0.195,
235.00,  0.206,
234.00,  0.212,
233.00,  0.218,
232.00,  0.225,
231.00,  0.234,
230.00,  0.248,
229.00,  0.251,
228.00,  0.247,
227.00,  0.268,
226.00,  0.262,
225.00,  0.266,
224.00,  0.280,
223.00,  0.292,
222.00,  0.300,
221.00,  0.308,
220.00,  0.309,
219.00,  0.316,
218.00,  0.338,
217.00,  0.353,
216.00,  0.370,
215.00,  0.399,
214.00,  0.417,
213.00,  0.440,
212.00,  0.480,
211.00,  0.507,
210.00,  0.544,
209.00,  0.590,
208.00,  0.624,
207.00,  0.677,
206.00,  0.729,
205.00,  0.768,
204.00,  0.812,
203.00,  0.843,
202.00,  0.839,
201.00,  0.863,
200.00,  0.866,
199.00,  0.988,
198.00,  0.997,
197.00,  0.935,
196.00,  0.975,
195.00,  0.882,
194.00,  0.879,
193.00,  0.759,
192.00,  0.645,
191.00,  0.486,
190.00,  0.206,
