nm,Abs,
350.00,  -0.008,
349.00,  0.003,
348.00,  0.004,
347.00,  0.001,
346.00,  -0.001,
345.00,  -0.001,
344.00,  -0.006,
343.00,  0.009,
342.00,  0.005,
341.00,  -0.011,
340.00,  -0.006,
339.00,  -0.004,
338.00,  0.009,
337.00,  0.006,
336.00,  0.000,
335.00,  0.002,
334.00,  -0.001,
333.00,  0.001,
332.00,  0.001,
331.00,  0.002,
330.00,  0.003,
329.00,  0.001,
328.00,  0.004,
327.00,  0.001,
326.00,  -0.002,
325.00,  0.005,
324.00,  -0.001,
323.00,  -0.003,
322.00,  -0.004,
321.00,  0.001,
320.00,  -0.003,
319.00,  -0.002,
318.00,  -0.001,
317.00,  -0.003,
316.00,  0.005,
315.00,  0.003,
314.00,  0.001,
313.00,  -0.004,
312.00,  -0.009,
311.00,  -0.008,
310.00,  -0.003,
309.00,  0.008,
308.00,  -0.004,
307.00,  0.001,
306.00,  0.006,
305.00,  0.009,
304.00,  0.002,
303.00,  0.010,
302.00,  0.016,
301.00,  0.018,
300.00,  0.027,
299.00,  0.031,
298.00,  0.045,
297.00,  0.051,
296.00,  0.053,
295.00,  0.069,
294.00,  0.074,
293.00,  0.084,
292.00,  0.089,
291.00,  0.109,
290.00,  0.113,
289.00,  0.121,
288.00,  0.127,
287.00,  0.138,
286.00,  0.142,
285.00,  0.147,
284.00,  0.154,
283.00,  0.155,
282.00,  0.158,
281.00,  0.154,
280.00,  0.158,
279.00,  0.160,
278.00,  0.157,
277.00,  0.148,
276.00,  0.151,
275.00,  0.145,
274.00,  0.144,
273.00,  0.137,
272.00,  0.130,
271.00,  0.123,
270.00,  0.122,
269.00,  0.118,
268.00,  0.114,
267.00,  0.110,
266.00,  0.109,
265.00,  0.106,
264.00,  0.103,
263.00,  0.109,
262.00,  0.110,
261.00,  0.113,
260.00,  0.121,
259.00,  0.125,
258.00,  0.131,
257.00,  0.151,
256.00,  0.168,
255.00,  0.184,
254.00,  0.208,
253.00,  0.234,
252.00,  0.260,
251.00,  0.286,
250.00,  0.316,
249.00,  0.348,
248.00,  0.391,
247.00,  0.421,
246.00,  0.454,
245.00,  0.501,
244.00,  0.540,
243.00,  0.577,
242.00,  0.614,
241.00,  0.650,
240.00,  0.679,
239.00,  0.705,
238.00,  0.726,
237.00,  0.757,
236.00,  0.777,
235.00,  0.788,
234.00,  0.807,
233.00,  0.808,
232.00,  0.819,
231.00,  0.821,
230.00,  0.825,
229.00,  0.833,
228.00,  0.834,
227.00,  0.837,
226.00,  0.844,
225.00,  0.836,
224.00,  0.849,
223.00,  0.863,
222.00,  0.879,
221.00,  0.892,
220.00,  0.914,
219.00,  0.943,
218.00,  0.977,
217.00,  1.005,
216.00,  1.055,
215.00,  1.108,
214.00,  1.155,
213.00,  1.170,
212.00,  1.210,
211.00,  1.246,
210.00,  1.258,
209.00,  1.241,
208.00,  1.238,
207.00,  1.194,
206.00,  1.194,
205.00,  1.139,
204.00,  1.136,
203.00,  1.082,
202.00,  1.056,
201.00,  1.011,
200.00,  1.001,
199.00,  1.180,
198.00,  1.130,
197.00,  1.062,
196.00,  1.041,
195.00,  0.916,
194.00,  0.859,
193.00,  0.726,
192.00,  0.568,
191.00,  0.417,
190.00,  0.208,
