nm,Abs,
350.00,  0.035,
349.00,  0.039,
348.00,  0.043,
347.00,  0.036,
346.00,  0.041,
345.00,  0.040,
344.00,  0.036,
343.00,  0.040,
342.00,  0.039,
341.00,  0.039,
340.00,  0.038,
339.00,  0.039,
338.00,  0.039,
337.00,  0.035,
336.00,  0.038,
335.00,  0.039,
334.00,  0.039,
333.00,  0.039,
332.00,  0.040,
331.00,  0.042,
330.00,  0.041,
329.00,  0.042,
328.00,  0.039,
327.00,  0.035,
326.00,  0.035,
325.00,  0.043,
324.00,  0.043,
323.00,  0.040,
322.00,  0.032,
321.00,  0.044,
320.00,  0.041,
319.00,  0.038,
318.00,  0.034,
317.00,  0.038,
316.00,  0.047,
315.00,  0.043,
314.00,  0.043,
313.00,  0.041,
312.00,  0.035,
311.00,  0.043,
310.00,  0.045,
309.00,  0.052,
308.00,  0.046,
307.00,  0.048,
306.00,  0.057,
305.00,  0.064,
304.00,  0.066,
303.00,  0.090,
302.00,  0.104,
301.00,  0.124,
300.00,  0.153,
299.00,  0.183,
298.00,  0.213,
297.00,  0.238,
296.00,  0.274,
295.00,  0.312,
294.00,  0.346,
293.00,  0.382,
292.00,  0.420,
291.00,  0.461,
290.00,  0.490,
289.00,  0.530,
288.00,  0.553,
287.00,  0.581,
286.00,  0.601,
285.00,  0.618,
284.00,  0.627,
283.00,  0.641,
282.00,  0.643,
281.00,  0.655,
280.00,  0.657,
279.00,  0.653,
278.00,  0.644,
277.00,  0.629,
276.00,  0.617,
275.00,  0.604,
274.00,  0.576,
273.00,  0.560,
272.00,  0.546,
271.00,  0.526,
270.00,  0.511,
269.00,  0.496,
268.00,  0.480,
267.00,  0.462,
266.00,  0.457,
265.00,  0.447,
264.00,  0.451,
263.00,  0.450,
262.00,  0.464,
261.00,  0.471,
260.00,  0.498,
259.00,  0.531,
258.00,  0.569,
257.00,  0.617,
256.00,  0.674,
255.00,  0.738,
254.00,  0.815,
253.00,  0.902,
252.00,  0.984,
251.00,  1.071,
250.00,  1.150,
249.00,  1.233,
248.00,  1.324,
247.00,  1.392,
246.00,  1.462,
245.00,  1.526,
244.00,  1.568,
243.00,  1.569,
242.00,  1.611,
241.00,  1.610,
240.00,  1.605,
239.00,  1.621,
238.00,  1.623,
237.00,  1.632,
236.00,  1.622,
235.00,  1.619,
234.00,  1.606,
233.00,  1.602,
232.00,  1.603,
231.00,  1.589,
230.00,  1.589,
229.00,  1.575,
228.00,  1.581,
227.00,  1.565,
226.00,  1.545,
225.00,  1.526,
224.00,  1.542,
223.00,  1.511,
222.00,  1.515,
221.00,  1.491,
220.00,  1.486,
219.00,  1.485,
218.00,  1.465,
217.00,  1.442,
216.00,  1.438,
215.00,  1.419,
214.00,  1.408,
213.00,  1.380,
212.00,  1.342,
211.00,  1.323,
210.00,  1.279,
209.00,  1.277,
208.00,  1.239,
207.00,  1.226,
206.00,  1.196,
205.00,  1.188,
204.00,  1.096,
203.00,  1.100,
202.00,  1.050,
201.00,  1.011,
200.00,  0.969,
199.00,  1.152,
198.00,  1.154,
197.00,  1.070,
196.00,  0.997,
195.00,  0.952,
194.00,  0.848,
193.00,  0.710,
192.00,  0.599,
191.00,  0.428,
190.00,  0.204,
