nm,Abs,
350.00,  0.037,
349.00,  0.033,
348.00,  0.039,
347.00,  0.037,
346.00,  0.043,
345.00,  0.043,
344.00,  0.034,
343.00,  0.048,
342.00,  0.041,
341.00,  0.037,
340.00,  0.042,
339.00,  0.035,
338.00,  0.040,
337.00,  0.036,
336.00,  0.040,
335.00,  0.044,
334.00,  0.040,
333.00,  0.049,
332.00,  0.043,
331.00,  0.041,
330.00,  0.039,
329.00,  0.044,
328.00,  0.047,
327.00,  0.039,
326.00,  0.038,
325.00,  0.047,
324.00,  0.046,
323.00,  0.045,
322.00,  0.044,
321.00,  0.044,
320.00,  0.046,
319.00,  0.041,
318.00,  0.046,
317.00,  0.043,
316.00,  0.052,
315.00,  0.046,
314.00,  0.051,
313.00,  0.044,
312.00,  0.043,
311.00,  0.045,
310.00,  0.041,
309.00,  0.058,
308.00,  0.046,
307.00,  0.049,
306.00,  0.056,
305.00,  0.061,
304.00,  0.064,
303.00,  0.075,
302.00,  0.093,
301.00,  0.107,
300.00,  0.127,
299.00,  0.143,
298.00,  0.173,
297.00,  0.190,
296.00,  0.215,
295.00,  0.241,
294.00,  0.267,
293.00,  0.288,
292.00,  0.317,
291.00,  0.352,
290.00,  0.369,
289.00,  0.399,
288.00,  0.416,
287.00,  0.436,
286.00,  0.450,
285.00,  0.466,
284.00,  0.478,
283.00,  0.484,
282.00,  0.483,
281.00,  0.488,
280.00,  0.492,
279.00,  0.487,
278.00,  0.485,
277.00,  0.472,
276.00,  0.463,
275.00,  0.454,
274.00,  0.436,
273.00,  0.424,
272.00,  0.413,
271.00,  0.396,
270.00,  0.383,
269.00,  0.376,
268.00,  0.362,
267.00,  0.357,
266.00,  0.349,
265.00,  0.341,
264.00,  0.341,
263.00,  0.340,
262.00,  0.354,
261.00,  0.366,
260.00,  0.385,
259.00,  0.403,
258.00,  0.428,
257.00,  0.467,
256.00,  0.516,
255.00,  0.559,
254.00,  0.624,
253.00,  0.683,
252.00,  0.751,
251.00,  0.814,
250.00,  0.892,
249.00,  0.971,
248.00,  1.050,
247.00,  1.132,
246.00,  1.208,
245.00,  1.280,
244.00,  1.359,
243.00,  1.404,
242.00,  1.456,
241.00,  1.475,
240.00,  1.509,
239.00,  1.529,
238.00,  1.541,
237.00,  1.568,
236.00,  1.559,
235.00,  1.574,
234.00,  1.560,
233.00,  1.583,
232.00,  1.564,
231.00,  1.556,
230.00,  1.558,
229.00,  1.557,
228.00,  1.539,
227.00,  1.532,
226.00,  1.521,
225.00,  1.526,
224.00,  1.524,
223.00,  1.505,
222.00,  1.482,
221.00,  1.485,
220.00,  1.471,
219.00,  1.460,
218.00,  1.471,
217.00,  1.442,
216.00,  1.441,
215.00,  1.424,
214.00,  1.398,
213.00,  1.363,
212.00,  1.361,
211.00,  1.333,
210.00,  1.314,
209.00,  1.256,
208.00,  1.251,
207.00,  1.213,
206.00,  1.204,
205.00,  1.161,
204.00,  1.108,
203.00,  1.078,
202.00,  1.037,
201.00,  1.013,
200.00,  0.998,
199.00,  1.230,
198.00,  1.163,
197.00,  1.058,
196.00,  1.009,
195.00,  0.896,
194.00,  0.872,
193.00,  0.704,
192.00,  0.555,
191.00,  0.446,
190.00,  0.223,
