nm,Abs,
350.00,  -0.003,
349.00,  -0.002,
348.00,  0.006,
347.00,  0.002,
346.00,  0.009,
345.00,  -0.001,
344.00,  -0.003,
343.00,  0.011,
342.00,  -0.001,
341.00,  0.000,
340.00,  0.000,
339.00,  -0.007,
338.00,  0.007,
337.00,  0.003,
336.00,  0.000,
335.00,  -0.001,
334.00,  -0.001,
333.00,  -0.004,
332.00,  0.002,
331.00,  0.006,
330.00,  0.001,
329.00,  0.002,
328.00,  0.005,
327.00,  0.002,
326.00,  0.002,
325.00,  -0.001,
324.00,  0.006,
323.00,  -0.002,
322.00,  -0.006,
321.00,  -0.001,
320.00,  -0.002,
319.00,  0.001,
318.00,  0.006,
317.00,  -0.004,
316.00,  0.002,
315.00,  0.000,
314.00,  0.006,
313.00,  0.001,
312.00,  -0.009,
311.00,  0.000,
310.00,  0.000,
309.00,  0.006,
308.00,  -0.003,
307.00,  -0.003,
306.00,  0.001,
305.00,  -0.001,
304.00,  -0.002,
303.00,  0.009,
302.00,  0.010,
301.00,  0.005,
300.00,  0.010,
299.00,  0.010,
298.00,  0.019,
297.00,  0.015,
296.00,  0.016,
295.00,  0.018,
294.00,  0.023,
293.00,  0.025,
292.00,  0.025,
291.00,  0.034,
290.00,  0.033,
289.00,  0.039,
288.00,  0.041,
287.00,  0.039,
286.00,  0.046,
285.00,  0.049,
284.00,  0.052,
283.00,  0.052,
282.00,  0.049,
281.00,  0.045,
280.00,  0.049,
279.00,  0.049,
278.00,  0.057,
277.00,  0.051,
276.00,  0.053,
275.00,  0.048,
274.00,  0.043,
273.00,  0.046,
272.00,  0.044,
271.00,  0.044,
270.00,  0.043,
269.00,  0.038,
268.00,  0.036,
267.00,  0.038,
266.00,  0.043,
265.00,  0.034,
264.00,  0.037,
263.00,  0.034,
262.00,  0.043,
261.00,  0.039,
260.00,  0.043,
259.00,  0.042,
258.00,  0.042,
257.00,  0.053,
256.00,  0.060,
255.00,  0.063,
254.00,  0.069,
253.00,  0.077,
252.00,  0.089,
251.00,  0.100,
250.00,  0.108,
249.00,  0.113,
248.00,  0.129,
247.00,  0.140,
246.00,  0.153,
245.00,  0.165,
244.00,  0.179,
243.00,  0.192,
242.00,  0.210,
241.00,  0.219,
240.00,  0.234,
239.00,  0.235,
238.00,  0.250,
237.00,  0.261,
236.00,  0.270,
235.00,  0.276,
234.00,  0.279,
233.00,  0.285,
232.00,  0.286,
231.00,  0.296,
230.00,  0.290,
229.00,  0.296,
228.00,  0.298,
227.00,  0.300,
226.00,  0.304,
225.00,  0.301,
224.00,  0.312,
223.00,  0.317,
222.00,  0.318,
221.00,  0.339,
220.00,  0.333,
219.00,  0.354,
218.00,  0.371,
217.00,  0.387,
216.00,  0.431,
215.00,  0.453,
214.00,  0.475,
213.00,  0.509,
212.00,  0.561,
211.00,  0.612,
210.00,  0.670,
209.00,  0.691,
208.00,  0.749,
207.00,  0.776,
206.00,  0.812,
205.00,  0.849,
204.00,  0.847,
203.00,  0.843,
202.00,  0.845,
201.00,  0.861,
200.00,  0.844,
199.00,  0.958,
198.00,  0.969,
197.00,  0.920,
196.00,  0.873,
195.00,  0.796,
194.00,  0.735,
193.00,  0.602,
192.00,  0.552,
191.00,  0.395,
190.00,  0.214,
