nm,Abs,
350.00,  0.037,
349.00,  0.039,
348.00,  0.033,
347.00,  0.034,
346.00,  0.037,
345.00,  0.027,
344.00,  0.033,
343.00,  0.040,
342.00,  0.045,
341.00,  0.037,
340.00,  0.037,
339.00,  0.040,
338.00,  0.044,
337.00,  0.042,
336.00,  0.041,
335.00,  0.042,
334.00,  0.037,
333.00,  0.039,
332.00,  0.041,
331.00,  0.042,
330.00,  0.039,
329.00,  0.041,
328.00,  0.044,
327.00,  0.041,
326.00,  0.034,
325.00,  0.038,
324.00,  0.046,
323.00,  0.042,
322.00,  0.032,
321.00,  0.041,
320.00,  0.036,
319.00,  0.041,
318.00,  0.043,
317.00,  0.041,
316.00,  0.053,
315.00,  0.043,
314.00,  0.049,
313.00,  0.043,
312.00,  0.037,
311.00,  0.039,
310.00,  0.043,
309.00,  0.046,
308.00,  0.045,
307.00,  0.043,
306.00,  0.048,
305.00,  0.050,
304.00,  0.050,
303.00,  0.060,
302.00,  0.065,
301.00,  0.072,
300.00,  0.084,
299.00,  0.088,
298.00,  0.106,
297.00,  0.108,
296.00,  0.123,
295.00,  0.137,
294.00,  0.147,
293.00,  0.160,
292.00,  0.172,
291.00,  0.185,
290.00,  0.197,
289.00,  0.211,
288.00,  0.219,
287.00,  0.229,
286.00,  0.237,
285.00,  0.246,
284.00,  0.248,
283.00,  0.253,
282.00,  0.256,
281.00,  0.261,
280.00,  0.257,
279.00,  0.258,
278.00,  0.257,
277.00,  0.249,
276.00,  0.243,
275.00,  0.238,
274.00,  0.233,
273.00,  0.228,
272.00,  0.227,
271.00,  0.212,
270.00,  0.213,
269.00,  0.203,
268.00,  0.200,
267.00,  0.195,
266.00,  0.196,
265.00,  0.188,
264.00,  0.190,
263.00,  0.193,
262.00,  0.192,
261.00,  0.201,
260.00,  0.208,
259.00,  0.217,
258.00,  0.230,
257.00,  0.252,
256.00,  0.275,
255.00,  0.296,
254.00,  0.326,
253.00,  0.361,
252.00,  0.386,
251.00,  0.429,
250.00,  0.464,
249.00,  0.506,
248.00,  0.549,
247.00,  0.600,
246.00,  0.655,
245.00,  0.700,
244.00,  0.759,
243.00,  0.800,
242.00,  0.850,
241.00,  0.889,
240.00,  0.929,
239.00,  0.955,
238.00,  0.978,
237.00,  1.015,
236.00,  1.044,
235.00,  1.045,
234.00,  1.063,
233.00,  1.079,
232.00,  1.083,
231.00,  1.093,
230.00,  1.093,
229.00,  1.096,
228.00,  1.096,
227.00,  1.094,
226.00,  1.101,
225.00,  1.109,
224.00,  1.110,
223.00,  1.116,
222.00,  1.129,
221.00,  1.136,
220.00,  1.164,
219.00,  1.176,
218.00,  1.214,
217.00,  1.218,
216.00,  1.268,
215.00,  1.296,
214.00,  1.312,
213.00,  1.319,
212.00,  1.317,
211.00,  1.292,
210.00,  1.300,
209.00,  1.265,
208.00,  1.235,
207.00,  1.209,
206.00,  1.193,
205.00,  1.146,
204.00,  1.115,
203.00,  1.072,
202.00,  1.056,
201.00,  1.023,
200.00,  0.996,
199.00,  1.191,
198.00,  1.155,
197.00,  1.066,
196.00,  1.010,
195.00,  0.882,
194.00,  0.856,
193.00,  0.731,
192.00,  0.588,
191.00,  0.466,
190.00,  0.193,
